# Date	real
05/23/26	13.94
05/23/26	14.16
05/23/26	14.17
05/23/26	14.15
05/23/26	14.19
05/23/26	14.15
05/23/26	14.16
05/23/26	14.07
05/23/26	13.8
05/23/26	13.31
06/01/26	14.15
06/01/26	14.04
06/01/26	14.14
06/01/26	14.11
06/01/26	14.14
06/01/26	14.07
06/01/26	14.19
06/01/26	14.08
06/01/26	14.15
06/01/26	14.11
07/19/26	13.83
07/19/26	13.94
07/19/26	13.95
07/19/26	13.9
07/19/26	13.87
07/19/26	13.95
07/19/26	13.91
07/19/26	13.93
07/19/26	13.89
07/19/26	13.94
07/20/26	13.95
07/20/26	13.92
07/20/26	13.92
07/20/26	13.93
07/20/26	13.91
07/20/26	13.91
07/20/26	13.88
07/20/26	13.92
07/20/26	13.97
07/20/26	13.9
