# Date	real
05/23/26	15.87
05/23/26	15.2
05/23/26	15.86
05/23/26	15.85
05/23/26	15.86
05/23/26	15.85
05/23/26	15.86
05/23/26	15.85
05/23/26	15.86
05/23/26	15.21
06/01/26	15.86
06/01/26	15.9
06/01/26	15.85
06/01/26	15.84
06/01/26	15.84
06/01/26	15.86
06/01/26	15.89
06/01/26	15.86
06/01/26	15.88
06/01/26	15.86
07/19/26	15.76
07/19/26	15.78
07/19/26	15.93
07/19/26	15.96
07/19/26	15.95
07/19/26	15.94
07/19/26	15.76
07/19/26	15.95
07/19/26	15.94
07/19/26	15.76
07/20/26	15.94
07/20/26	15.96
07/20/26	15.43
07/20/26	15.73
07/20/26	15.46
07/20/26	15.38
07/20/26	15.28
07/20/26	15.1
07/20/26	15.91
07/20/26	15.86
