# Date	real
05/23/26	15.41
05/23/26	15.39
05/23/26	15.36
05/23/26	15.43
05/23/26	15.36
05/23/26	15.4
05/23/26	15.37
05/23/26	15.4
05/23/26	15.4
05/23/26	15.38
06/01/26	16.03
06/01/26	16.02
06/01/26	16.02
06/01/26	16.06
06/01/26	16.03
06/01/26	16.01
06/01/26	16.03
06/01/26	16.03
06/01/26	16.06
06/01/26	16.02
07/19/26	15.97
07/19/26	15.96
07/19/26	15.98
07/19/26	15.97
07/19/26	16.03
07/19/26	15.97
07/19/26	15.98
07/19/26	15.95
07/19/26	16.0
07/19/26	15.36
07/20/26	15.96
07/20/26	15.95
07/20/26	15.99
07/20/26	15.96
07/20/26	16.09
07/20/26	15.97
07/20/26	15.97
07/20/26	15.95
07/20/26	15.98
07/20/26	15.99
