# Date	real
05/23/26	2.918
05/23/26	2.92
05/23/26	2.916
05/23/26	2.915
05/23/26	2.916
05/23/26	2.915
05/23/26	2.917
05/23/26	2.915
05/23/26	2.92
05/23/26	2.914
06/02/26	2.915
06/02/26	2.915
06/02/26	2.914
06/02/26	2.915
06/02/26	2.916
06/02/26	2.914
06/02/26	2.916
06/02/26	2.914
06/02/26	2.914
06/02/26	2.918
07/19/26	2.912
07/19/26	2.916
07/19/26	2.915
07/19/26	2.913
07/19/26	2.923
07/19/26	2.915
07/19/26	2.914
07/19/26	2.915
07/19/26	2.912
07/19/26	2.914
07/21/26	2.915
07/21/26	2.916
07/21/26	2.915
07/21/26	2.913
07/21/26	2.916
07/21/26	2.913
07/21/26	2.913
07/21/26	2.914
07/21/26	2.914
07/21/26	2.914
