# Date	real
05/23/26	2.916
05/23/26	2.915
05/23/26	2.917
05/23/26	2.914
05/23/26	2.913
05/23/26	2.916
05/23/26	2.913
05/23/26	2.915
05/23/26	2.914
05/23/26	3.029
06/02/26	2.918
06/02/26	2.916
06/02/26	2.915
06/02/26	2.917
06/02/26	2.917
06/02/26	2.916
06/02/26	2.917
06/02/26	2.915
06/02/26	2.915
06/02/26	2.917
07/19/26	2.915
07/19/26	2.913
07/19/26	2.913
07/19/26	3.027
07/19/26	2.912
07/19/26	2.912
07/19/26	2.917
07/19/26	2.92
07/19/26	2.912
07/19/26	2.913
07/21/26	2.921
07/21/26	2.916
07/21/26	2.912
07/21/26	2.913
07/21/26	2.914
07/21/26	2.913
07/21/26	2.912
07/21/26	2.914
07/21/26	2.913
07/21/26	2.914
