# Date	real
05/23/26	4.839
05/23/26	4.821
05/23/26	4.842
05/23/26	4.839
05/23/26	4.845
05/23/26	4.85
05/23/26	4.843
05/23/26	4.847
05/23/26	4.838
05/23/26	4.841
06/01/26	4.867
06/01/26	4.838
06/01/26	4.87
06/01/26	4.874
06/01/26	4.866
06/01/26	4.869
06/01/26	4.869
06/01/26	4.868
06/01/26	4.877
06/01/26	4.869
07/19/26	4.872
07/19/26	4.855
07/19/26	4.869
07/19/26	4.864
07/19/26	4.875
07/19/26	4.87
07/19/26	4.872
07/19/26	4.874
07/19/26	4.867
07/19/26	4.881
07/20/26	4.87
07/20/26	4.853
07/20/26	4.867
07/20/26	4.873
07/20/26	4.869
07/20/26	4.867
07/20/26	4.865
07/20/26	4.871
07/20/26	4.867
07/20/26	4.87
