# Date	real
05/23/26	14.84
05/23/26	14.91
05/23/26	14.9
05/23/26	14.84
05/23/26	14.86
05/23/26	14.85
05/23/26	14.85
05/23/26	14.85
05/23/26	14.93
05/23/26	14.95
06/02/26	14.91
06/02/26	14.9
06/02/26	14.91
06/02/26	14.9
06/02/26	14.9
06/02/26	14.91
06/02/26	14.89
06/02/26	14.9
06/02/26	14.9
06/02/26	14.89
07/19/26	15.12
07/19/26	15.11
07/19/26	15.11
07/19/26	15.13
07/19/26	15.12
07/19/26	15.11
07/19/26	15.12
07/19/26	15.11
07/19/26	15.13
07/19/26	15.11
07/21/26	15.12
07/21/26	15.14
07/21/26	15.12
07/21/26	15.13
07/21/26	15.12
07/21/26	15.12
07/21/26	15.12
07/21/26	15.11
07/21/26	15.13
07/21/26	15.12
