# Date	real
05/23/26	8.181
05/23/26	8.149
05/23/26	8.167
05/23/26	8.154
05/23/26	8.142
05/23/26	8.157
05/23/26	8.152
05/23/26	8.142
05/23/26	8.15
05/23/26	8.142
06/01/26	8.184
06/01/26	8.173
06/01/26	8.177
06/01/26	8.192
06/01/26	8.207
06/01/26	8.141
06/01/26	8.182
06/01/26	8.185
06/01/26	8.184
06/01/26	8.185
07/19/26	8.494
07/19/26	8.473
07/19/26	8.498
07/19/26	8.516
07/19/26	8.503
07/19/26	8.499
07/19/26	8.51
07/19/26	8.515
07/19/26	8.508
07/19/26	8.501
07/20/26	8.517
07/20/26	8.467
07/20/26	8.502
07/20/26	8.503
07/20/26	8.499
07/20/26	8.509
07/20/26	8.499
07/20/26	8.518
07/20/26	8.5
07/20/26	8.508
