# Date	real
05/23/26	3.383
05/23/26	3.385
05/23/26	3.382
05/23/26	3.48
05/23/26	3.565
05/23/26	3.555
05/23/26	3.559
05/23/26	3.569
05/23/26	3.567
05/23/26	3.553
06/02/26	3.388
06/02/26	3.379
06/02/26	3.39
06/02/26	3.388
06/02/26	3.392
06/02/26	3.404
06/02/26	3.384
06/02/26	3.379
06/02/26	3.388
06/02/26	3.387
07/19/26	3.395
07/19/26	3.382
07/19/26	3.381
07/19/26	3.379
07/19/26	3.384
07/19/26	3.382
07/19/26	3.38
07/19/26	3.38
07/19/26	3.384
07/19/26	3.384
07/21/26	3.393
07/21/26	3.38
07/21/26	3.383
07/21/26	3.391
07/21/26	3.382
07/21/26	3.384
07/21/26	3.387
07/21/26	3.388
07/21/26	3.384
07/21/26	3.382
