# Date	real
05/23/26	13.06
05/23/26	13.23
05/23/26	13.28
05/23/26	13.22
05/23/26	13.21
05/23/26	13.22
05/23/26	13.24
05/23/26	13.22
05/23/26	13.23
05/23/26	13.23
06/02/26	12.63
06/02/26	12.64
06/02/26	12.66
06/02/26	12.62
06/02/26	12.63
06/02/26	12.68
06/02/26	12.67
06/02/26	12.61
06/02/26	12.63
06/02/26	12.65
07/19/26	12.6
07/19/26	12.59
07/19/26	12.63
07/19/26	12.6
07/19/26	12.61
07/19/26	12.6
07/19/26	12.61
07/19/26	12.62
07/19/26	12.66
07/19/26	12.63
07/21/26	12.57
07/21/26	12.58
07/21/26	12.59
07/21/26	12.55
07/21/26	12.6
07/21/26	12.59
07/21/26	12.65
07/21/26	12.62
07/21/26	12.6
07/21/26	12.62
