# Date	real
07/19/26	19.45
07/19/26	19.34
07/19/26	19.39
07/19/26	19.37
07/19/26	19.39
07/19/26	19.4
07/19/26	19.36
07/19/26	19.37
07/19/26	19.35
07/19/26	19.38
07/20/26	19.4
07/20/26	19.3
07/20/26	19.4
07/20/26	19.49
07/20/26	19.42
07/20/26	19.43
07/20/26	19.37
07/20/26	19.35
07/20/26	19.31
07/20/26	19.32
07/26/26	19.68
07/26/26	19.69
07/26/26	19.66
07/26/26	19.66
07/26/26	19.62
07/26/26	19.64
07/26/26	19.67
07/26/26	19.66
07/26/26	19.63
07/26/26	19.64
07/26/26	19.72
07/26/26	19.66
07/26/26	19.68
07/26/26	19.63
07/26/26	19.68
07/26/26	19.63
07/26/26	19.65
07/26/26	19.69
07/26/26	19.63
07/26/26	19.65
07/26/26	31.71
07/26/26	31.77
07/26/26	31.75
07/26/26	31.24
07/26/26	31.69
07/26/26	31.72
07/26/26	31.66
07/26/26	31.64
07/26/26	31.69
07/26/26	31.68
07/26/26	37.24
07/26/26	32.85
07/26/26	30.89
07/26/26	32.97
07/26/26	31.99
07/26/26	33.37
07/26/26	32.6
07/26/26	32.36
07/26/26	36.17
07/26/26	34.71
