# Date	real
07/19/26	17.4
07/19/26	17.38
07/19/26	17.61
07/19/26	17.51
07/19/26	17.46
07/19/26	17.37
07/19/26	17.4
07/19/26	17.38
07/19/26	17.39
07/19/26	17.37
07/20/26	17.33
07/20/26	17.29
07/20/26	17.33
07/20/26	17.32
07/20/26	17.3
07/20/26	17.31
07/20/26	17.29
07/20/26	17.22
07/20/26	17.3
07/20/26	17.27
07/26/26	17.85
07/26/26	17.83
07/26/26	17.83
07/26/26	17.91
07/26/26	17.92
07/26/26	17.83
07/26/26	17.91
07/26/26	17.79
07/26/26	17.86
07/26/26	17.82
07/26/26	29.7
07/26/26	29.75
07/26/26	29.65
07/26/26	22.47
07/26/26	19.87
07/26/26	20.4
07/26/26	19.4
07/26/26	27.5
07/26/26	29.7
07/26/26	29.81
07/26/26	28.94
07/26/26	28.97
07/26/26	28.87
07/26/26	29.79
07/26/26	28.91
07/26/26	28.97
07/26/26	28.55
07/26/26	28.91
07/26/26	29.91
07/26/26	29.85
