# Date	real
07/19/26	17.41
07/19/26	17.46
07/19/26	17.38
07/19/26	17.46
07/19/26	17.48
07/19/26	17.4
07/19/26	17.42
07/19/26	17.48
07/19/26	17.47
07/19/26	17.46
07/20/26	17.25
07/20/26	17.31
07/20/26	17.29
07/20/26	17.44
07/20/26	17.31
07/20/26	17.38
07/20/26	17.23
07/20/26	17.27
07/20/26	17.28
07/20/26	17.3
07/26/26	17.85
07/26/26	17.87
07/26/26	17.93
07/26/26	17.86
07/26/26	17.81
07/26/26	17.88
07/26/26	17.82
07/26/26	17.83
07/26/26	18.06
07/26/26	17.84
07/26/26	29.05
07/26/26	29.82
07/26/26	29.69
07/26/26	29.67
07/26/26	30.74
07/26/26	29.93
07/26/26	29.65
07/26/26	31.74
07/26/26	29.69
07/26/26	29.76
07/26/26	29.75
07/26/26	29.78
07/26/26	28.9
07/26/26	29.82
07/26/26	28.88
07/26/26	29.44
07/26/26	29.76
07/26/26	28.97
07/26/26	29.8
07/26/26	29.58
