# Date	real
07/19/26	129.9
07/19/26	130.7
07/19/26	129.4
07/19/26	130.4
07/19/26	130.2
07/19/26	130.3
07/19/26	130.0
07/19/26	131.1
07/19/26	130.3
07/19/26	130.8
07/20/26	130.1
07/20/26	129.1
07/20/26	129.6
07/20/26	129.5
07/20/26	129.0
07/20/26	130.5
07/20/26	129.0
07/20/26	129.8
07/20/26	130.5
07/20/26	130.9
07/26/26	131.3
07/26/26	178.5
07/26/26	243.1
07/26/26	239.9
07/26/26	260.6
07/26/26	262.3
07/26/26	263.7
07/26/26	261.8
07/26/26	218.7
07/26/26	220.2
07/26/26	263.6
07/26/26	260.5
07/26/26	212.0
07/26/26	213.0
07/26/26	145.8
07/26/26	143.3
07/26/26	142.0
07/26/26	138.8
07/26/26	136.3
07/26/26	136.7
07/26/26	190.9
07/26/26	193.0
07/26/26	191.0
07/26/26	193.0
07/26/26	192.4
07/26/26	191.3
07/26/26	169.8
07/26/26	192.7
07/26/26	192.5
07/26/26	192.0
