# Date	real
07/19/26	90.52
07/19/26	90.57
07/19/26	90.49
07/19/26	90.51
07/19/26	90.52
07/19/26	90.51
07/19/26	91.7
07/19/26	90.51
07/19/26	90.56
07/19/26	90.52
07/20/26	90.52
07/20/26	90.54
07/20/26	90.32
07/20/26	90.49
07/20/26	90.75
07/20/26	90.57
07/20/26	90.61
07/20/26	90.53
07/20/26	90.56
07/20/26	90.52
07/26/26	137.3
07/26/26	182.0
07/26/26	146.9
07/26/26	173.2
07/26/26	136.9
07/26/26	173.3
07/26/26	113.2
07/26/26	113.3
07/26/26	116.0
07/26/26	128.2
07/26/26	146.4
07/26/26	147.0
07/26/26	132.7
07/26/26	134.4
07/26/26	148.9
07/26/26	148.6
07/26/26	140.7
07/26/26	132.9
07/26/26	96.44
07/26/26	103.1
07/26/26	132.5
07/26/26	132.6
07/26/26	132.6
07/26/26	132.7
07/26/26	133.0
07/26/26	132.6
07/26/26	132.9
07/26/26	132.6
07/26/26	132.7
07/26/26	132.2
