# Date	real
07/19/26	20.42
07/19/26	20.38
07/19/26	20.38
07/19/26	20.42
07/19/26	20.39
07/19/26	20.38
07/19/26	20.3
07/19/26	20.3
07/19/26	20.3
07/19/26	20.34
07/21/26	20.45
07/21/26	20.37
07/21/26	20.4
07/21/26	20.41
07/21/26	20.49
07/21/26	20.38
07/21/26	20.44
07/21/26	20.41
07/21/26	20.47
07/21/26	20.39
07/26/26	20.4
07/26/26	20.43
07/26/26	20.41
07/26/26	20.43
07/26/26	20.4
07/26/26	20.4
07/26/26	20.4
07/26/26	20.41
07/26/26	20.39
07/26/26	20.41
07/27/26	20.39
07/27/26	20.41
07/27/26	20.4
07/27/26	20.44
07/27/26	20.38
07/27/26	20.43
07/27/26	20.39
07/27/26	20.41
07/27/26	20.42
07/27/26	20.39
