# Date	real
06/01/26	5.685
06/01/26	5.672
06/01/26	5.698
06/01/26	5.709
06/01/26	5.67
06/01/26	5.667
06/01/26	5.688
06/01/26	5.653
06/01/26	5.682
06/01/26	5.692
07/19/26	5.548
07/19/26	5.522
07/19/26	5.583
07/19/26	5.528
07/19/26	5.597
07/19/26	5.56
07/19/26	5.554
07/19/26	5.549
07/19/26	5.601
07/19/26	5.569
07/20/26	5.57
07/20/26	5.581
07/20/26	5.569
07/20/26	5.555
07/20/26	5.569
07/20/26	5.536
07/20/26	5.554
07/20/26	5.554
07/20/26	5.859
07/20/26	5.673
07/26/26	11.2
07/26/26	11.21
07/26/26	11.2
07/26/26	6.815
07/26/26	5.632
07/26/26	12.04
07/26/26	11.6
07/26/26	11.57
07/26/26	5.647
07/26/26	11.24
07/26/26	11.97
07/26/26	12.48
07/26/26	11.74
07/26/26	12.6
07/26/26	11.35
07/26/26	12.34
07/26/26	11.26
07/26/26	12.81
07/26/26	11.17
07/26/26	11.88
07/27/26	5.568
07/27/26	5.532
07/27/26	5.546
07/27/26	5.554
07/27/26	5.571
07/27/26	5.55
07/27/26	5.538
07/27/26	5.541
07/27/26	5.54
07/27/26	5.541
