# Date	real
06/01/26	41.01
06/01/26	40.95
06/01/26	41.12
06/01/26	42.22
06/01/26	40.93
06/01/26	41.05
06/01/26	41.23
06/01/26	42.41
06/01/26	41.02
06/01/26	41.23
07/19/26	41.77
07/19/26	42.73
07/19/26	41.85
07/19/26	41.79
07/19/26	45.24
07/19/26	44.61
07/19/26	41.45
07/19/26	41.63
07/19/26	41.68
07/19/26	41.99
07/20/26	41.63
07/20/26	41.54
07/20/26	42.0
07/20/26	41.45
07/20/26	41.55
07/20/26	41.41
07/20/26	41.54
07/20/26	42.57
07/20/26	42.56
07/20/26	41.47
07/26/26	69.35
07/26/26	84.4
07/26/26	85.69
07/26/26	84.05
07/26/26	84.89
07/26/26	83.44
07/26/26	84.25
07/26/26	83.86
07/26/26	84.33
07/26/26	84.45
07/26/26	91.82
07/26/26	91.58
07/26/26	63.22
07/26/26	90.9
07/26/26	81.39
07/26/26	70.21
07/26/26	88.59
07/26/26	89.72
07/26/26	86.98
07/26/26	85.02
07/26/26	41.69
07/26/26	41.65
07/26/26	41.64
07/26/26	41.55
07/26/26	41.74
07/26/26	41.89
07/26/26	42.3
07/26/26	41.81
07/26/26	41.96
07/26/26	41.82
