# Date	real
06/02/26	2.967
06/02/26	2.981
06/02/26	2.929
06/02/26	2.959
06/02/26	2.988
06/02/26	2.957
06/02/26	2.945
06/02/26	2.963
06/02/26	2.965
06/02/26	2.94
07/19/26	2.842
07/19/26	2.768
07/19/26	2.802
07/19/26	2.669
07/19/26	2.699
07/19/26	2.695
07/19/26	2.653
07/19/26	2.646
07/19/26	2.687
07/19/26	2.656
07/21/26	2.756
07/21/26	2.766
07/21/26	2.766
07/21/26	2.798
07/21/26	2.819
07/21/26	2.764
07/21/26	2.776
07/21/26	2.839
07/21/26	2.83
07/21/26	2.838
07/26/26	2.782
07/26/26	2.898
07/26/26	2.803
07/26/26	2.809
07/26/26	2.78
07/26/26	2.82
07/26/26	2.781
07/26/26	2.787
07/26/26	2.773
07/26/26	2.768
07/27/26	2.77
07/27/26	2.828
07/27/26	2.808
07/27/26	2.825
07/27/26	2.772
07/27/26	2.821
07/27/26	2.836
07/27/26	2.815
07/27/26	2.76
07/27/26	2.81
