# Date	real
07/19/26	26.91
07/19/26	31.04
07/19/26	32.78
07/19/26	26.88
07/19/26	26.85
07/19/26	26.88
07/19/26	26.8
07/19/26	26.79
07/19/26	26.87
07/19/26	26.84
07/20/26	26.81
07/20/26	26.78
07/20/26	26.67
07/20/26	26.82
07/20/26	26.74
07/20/26	26.71
07/20/26	26.78
07/20/26	26.76
07/20/26	26.8
07/20/26	26.75
07/26/26	30.98
07/26/26	31.53
07/26/26	31.84
07/26/26	31.24
07/26/26	43.6
07/26/26	46.56
07/26/26	32.68
07/26/26	31.13
07/26/26	46.43
07/26/26	45.54
07/26/26	45.33
07/26/26	45.21
07/26/26	45.31
07/26/26	45.23
07/26/26	45.25
07/26/26	45.28
07/26/26	40.55
07/26/26	45.37
07/26/26	45.31
07/26/26	45.34
07/27/26	26.91
07/27/26	26.81
07/27/26	26.98
07/27/26	27.0
07/27/26	27.04
07/27/26	26.89
07/27/26	27.05
07/27/26	26.99
07/27/26	26.9
07/27/26	26.96
