# Date	real
07/19/26	19.84
07/19/26	20.29
07/19/26	20.22
07/19/26	20.33
07/19/26	19.86
07/19/26	19.78
07/19/26	20.26
07/19/26	20.2
07/19/26	20.02
07/19/26	19.68
07/20/26	20.11
07/20/26	19.73
07/20/26	19.97
07/20/26	19.84
07/20/26	20.17
07/20/26	19.87
07/20/26	20.19
07/20/26	20.26
07/20/26	19.56
07/20/26	20.06
07/26/26	35.98
07/26/26	24.94
07/26/26	22.6
07/26/26	31.72
07/26/26	36.15
07/26/26	33.07
07/26/26	24.24
07/26/26	23.61
07/26/26	35.81
07/26/26	36.23
07/26/26	35.2
07/26/26	31.88
07/26/26	32.91
07/26/26	35.31
07/26/26	35.13
07/26/26	35.48
07/26/26	35.24
07/26/26	35.24
07/26/26	34.98
07/26/26	35.22
07/27/26	19.85
07/27/26	19.74
07/27/26	20.24
07/27/26	20.24
07/27/26	20.12
07/27/26	20.04
07/27/26	19.81
07/27/26	20.01
07/27/26	19.82
07/27/26	20.21
