# Date	real
05/23/26	15.71
05/23/26	15.72
05/23/26	15.73
05/23/26	15.73
05/23/26	15.88
05/23/26	15.72
05/23/26	16.36
05/23/26	16.36
05/23/26	16.34
05/23/26	16.36
06/01/26	16.35
06/01/26	16.35
06/01/26	16.37
06/01/26	16.36
06/01/26	16.35
06/01/26	16.35
06/01/26	16.36
06/01/26	16.33
06/01/26	16.4
06/01/26	16.35
07/19/26	16.46
07/19/26	16.46
07/19/26	16.44
07/19/26	16.46
07/19/26	16.46
07/19/26	16.43
07/19/26	16.46
07/19/26	16.46
07/19/26	16.43
07/19/26	16.47
07/20/26	16.45
07/20/26	16.44
07/20/26	16.45
07/20/26	16.45
07/20/26	16.46
07/20/26	16.44
07/20/26	16.45
07/20/26	16.42
07/20/26	16.45
07/20/26	16.43
07/26/26	17.15
07/26/26	17.35
07/26/26	17.14
07/26/26	17.5
07/26/26	16.57
07/26/26	17.36
07/26/26	17.31
07/26/26	19.33
07/26/26	17.55
07/26/26	19.01
07/26/26	23.8
07/26/26	33.24
07/26/26	32.9
07/26/26	22.58
07/26/26	17.3
07/26/26	16.82
07/26/26	26.14
07/26/26	21.19
07/26/26	27.16
07/26/26	32.95
07/27/26	16.43
07/27/26	16.43
07/27/26	16.49
07/27/26	16.44
07/27/26	16.46
07/27/26	16.42
07/27/26	16.44
07/27/26	16.44
07/27/26	16.44
07/27/26	16.45
