# Date	real
05/23/26	15.87
05/23/26	15.2
05/23/26	15.86
05/23/26	15.85
05/23/26	15.86
05/23/26	15.85
05/23/26	15.86
05/23/26	15.85
05/23/26	15.86
05/23/26	15.21
06/01/26	15.86
06/01/26	15.9
06/01/26	15.85
06/01/26	15.84
06/01/26	15.84
06/01/26	15.86
06/01/26	15.89
06/01/26	15.86
06/01/26	15.88
06/01/26	15.86
07/19/26	15.76
07/19/26	15.78
07/19/26	15.93
07/19/26	15.96
07/19/26	15.95
07/19/26	15.94
07/19/26	15.76
07/19/26	15.95
07/19/26	15.94
07/19/26	15.76
07/20/26	15.94
07/20/26	15.96
07/20/26	15.43
07/20/26	15.73
07/20/26	15.46
07/20/26	15.38
07/20/26	15.28
07/20/26	15.1
07/20/26	15.91
07/20/26	15.86
07/26/26	16.85
07/26/26	19.75
07/26/26	20.04
07/26/26	21.03
07/26/26	23.33
07/26/26	21.33
07/26/26	21.54
07/26/26	20.79
07/26/26	20.56
07/26/26	20.23
07/26/26	24.45
07/26/26	31.78
07/26/26	31.32
07/26/26	20.88
07/26/26	25.49
07/26/26	31.95
07/26/26	27.87
07/26/26	18.64
07/26/26	16.54
07/26/26	17.16
07/27/26	15.98
07/27/26	15.79
07/27/26	15.93
07/27/26	15.78
07/27/26	15.94
07/27/26	15.79
07/27/26	15.96
07/27/26	15.96
07/27/26	16.06
07/27/26	15.92
