# Date	real
06/01/26	27.08
06/01/26	27.08
06/01/26	27.08
06/01/26	27.09
06/01/26	27.07
06/01/26	27.08
06/01/26	27.07
06/01/26	27.07
06/01/26	27.08
06/01/26	27.07
07/19/26	26.87
07/19/26	26.88
07/19/26	26.87
07/19/26	26.88
07/19/26	27.9
07/19/26	27.21
07/19/26	27.38
07/19/26	27.91
07/19/26	27.91
07/19/26	27.91
07/21/26	26.88
07/21/26	26.87
07/21/26	26.88
07/21/26	26.87
07/21/26	26.88
07/21/26	26.89
07/21/26	26.87
07/21/26	26.89
07/21/26	26.87
07/21/26	26.88
07/26/26	53.58
07/26/26	53.81
07/26/26	53.81
07/26/26	53.79
07/26/26	53.81
07/26/26	53.4
07/26/26	53.8
07/26/26	53.78
07/26/26	53.82
07/26/26	53.41
07/26/26	27.02
07/26/26	26.97
07/26/26	26.87
07/26/26	38.07
07/26/26	36.26
07/26/26	27.09
07/26/26	26.98
07/26/26	27.12
07/26/26	27.06
07/26/26	46.69
07/27/26	26.88
07/27/26	26.87
07/27/26	26.87
07/27/26	26.88
07/27/26	26.87
07/27/26	26.87
07/27/26	26.87
07/27/26	26.88
07/27/26	26.86
07/27/26	26.87
