# Date	real
06/02/26	2.917
06/02/26	2.929
06/02/26	2.916
06/02/26	2.916
06/02/26	2.918
06/02/26	2.918
06/02/26	2.918
06/02/26	2.916
06/02/26	2.914
06/02/26	2.919
07/19/26	2.916
07/19/26	2.914
07/19/26	2.915
07/19/26	2.916
07/19/26	2.917
07/19/26	2.918
07/19/26	2.918
07/19/26	2.919
07/19/26	2.916
07/19/26	2.915
07/21/26	2.918
07/21/26	2.917
07/21/26	2.915
07/21/26	2.918
07/21/26	2.917
07/21/26	2.918
07/21/26	2.915
07/21/26	2.925
07/21/26	2.916
07/21/26	2.916
07/26/26	2.913
07/26/26	2.914
07/26/26	2.917
07/26/26	2.917
07/26/26	2.916
07/26/26	2.914
07/26/26	2.917
07/26/26	2.933
07/26/26	2.915
07/26/26	2.917
07/27/26	2.926
07/27/26	2.918
07/27/26	2.916
07/27/26	2.916
07/27/26	2.916
07/27/26	2.916
07/27/26	2.916
07/27/26	2.916
07/27/26	2.918
07/27/26	2.917
