# Date	real
07/19/26	31.78
07/19/26	31.82
07/19/26	31.74
07/19/26	31.8
07/19/26	31.81
07/19/26	31.78
07/19/26	31.83
07/19/26	31.79
07/19/26	31.78
07/19/26	31.78
07/21/26	31.7
07/21/26	31.73
07/21/26	31.77
07/21/26	31.76
07/21/26	31.76
07/21/26	31.75
07/21/26	31.76
07/21/26	31.78
07/21/26	32.37
07/21/26	31.78
07/26/26	32.28
07/26/26	32.21
07/26/26	32.11
07/26/26	32.26
07/26/26	33.67
07/26/26	46.09
07/26/26	53.14
07/26/26	43.62
07/26/26	33.16
07/26/26	41.7
07/26/26	32.32
07/26/26	32.14
07/26/26	32.14
07/26/26	31.97
07/26/26	32.36
07/26/26	32.31
07/26/26	32.12
07/26/26	32.37
07/26/26	32.51
07/26/26	32.41
07/27/26	31.83
07/27/26	31.86
07/27/26	31.75
07/27/26	31.85
07/27/26	31.83
07/27/26	31.81
07/27/26	31.8
07/27/26	31.78
07/27/26	31.81
07/27/26	31.89
