# Date	real
07/19/26	7.672
07/19/26	7.633
07/19/26	7.628
07/19/26	7.632
07/19/26	7.628
07/19/26	7.63
07/19/26	7.629
07/19/26	7.65
07/19/26	7.657
07/19/26	7.633
07/21/26	7.656
07/21/26	7.661
07/21/26	7.642
07/21/26	7.643
07/21/26	7.651
07/21/26	7.638
07/21/26	7.648
07/21/26	7.652
07/21/26	7.677
07/21/26	7.654
07/26/26	7.642
07/26/26	7.632
07/26/26	7.637
07/26/26	7.636
07/26/26	7.638
07/26/26	7.67
07/26/26	7.633
07/26/26	7.634
07/26/26	7.637
07/26/26	7.634
07/27/26	7.655
07/27/26	7.637
07/27/26	7.638
07/27/26	7.632
07/27/26	7.641
07/27/26	7.63
07/27/26	7.642
07/27/26	7.665
07/27/26	7.633
07/27/26	7.636
