# Date	real
06/02/26	7.668
06/02/26	7.642
06/02/26	7.696
06/02/26	7.725
06/02/26	7.66
06/02/26	7.673
06/02/26	7.648
06/02/26	7.654
06/02/26	7.63
06/02/26	7.644
07/19/26	7.617
07/19/26	7.645
07/19/26	7.597
07/19/26	7.614
07/19/26	7.625
07/19/26	7.624
07/19/26	7.608
07/19/26	7.589
07/19/26	7.628
07/19/26	7.627
07/21/26	7.639
07/21/26	7.645
07/21/26	7.742
07/21/26	7.763
07/21/26	7.751
07/21/26	7.733
07/21/26	7.617
07/21/26	7.629
07/21/26	7.676
07/21/26	7.619
07/26/26	7.626
07/26/26	7.65
07/26/26	7.62
07/26/26	7.598
07/26/26	7.614
07/26/26	7.601
07/26/26	7.618
07/26/26	7.615
07/26/26	7.659
07/26/26	7.614
07/27/26	7.636
07/27/26	7.639
07/27/26	7.626
07/27/26	7.601
07/27/26	7.604
07/27/26	7.613
07/27/26	7.597
07/27/26	7.602
07/27/26	7.61
07/27/26	7.629
