# Date	real
07/19/26	12.52
07/19/26	12.43
07/19/26	12.49
07/19/26	12.49
07/19/26	12.42
07/19/26	12.56
07/19/26	12.41
07/19/26	12.59
07/19/26	12.5
07/19/26	12.57
07/20/26	12.54
07/20/26	12.57
07/20/26	12.57
07/20/26	12.46
07/20/26	12.54
07/20/26	12.48
07/20/26	12.6
07/20/26	12.59
07/20/26	12.45
07/20/26	12.5
07/26/26	12.59
07/26/26	12.64
07/26/26	12.65
07/26/26	12.58
07/26/26	12.5
07/26/26	12.47
07/26/26	12.65
07/26/26	12.65
07/26/26	12.5
07/26/26	12.49
07/26/26	19.19
07/26/26	19.19
07/26/26	19.25
07/26/26	19.2
07/26/26	19.22
07/26/26	19.27
07/26/26	18.58
07/26/26	19.2
07/26/26	19.25
07/26/26	19.3
07/26/26	20.48
07/26/26	20.29
07/26/26	20.22
07/26/26	20.34
07/26/26	20.27
07/26/26	20.33
07/26/26	20.37
07/26/26	20.36
07/26/26	21.58
07/26/26	20.33
