# Date	real
07/19/26	12.22
07/19/26	12.19
07/19/26	12.32
07/19/26	12.26
07/19/26	12.3
07/19/26	12.25
07/19/26	12.31
07/19/26	12.32
07/19/26	12.29
07/19/26	12.31
07/20/26	12.21
07/20/26	12.23
07/20/26	12.17
07/20/26	12.17
07/20/26	12.21
07/20/26	12.18
07/20/26	12.2
07/20/26	12.18
07/20/26	12.21
07/20/26	12.13
07/26/26	12.58
07/26/26	12.49
07/26/26	12.49
07/26/26	12.5
07/26/26	12.55
07/26/26	12.48
07/26/26	12.57
07/26/26	12.51
07/26/26	12.49
07/26/26	12.59
07/26/26	22.73
07/26/26	22.58
07/26/26	22.77
07/26/26	22.79
07/26/26	22.6
07/26/26	22.64
07/26/26	22.65
07/26/26	22.27
07/26/26	22.75
07/26/26	22.67
07/26/26	23.53
07/26/26	23.53
07/26/26	23.5
07/26/26	23.3
07/26/26	23.4
07/26/26	23.39
07/26/26	23.36
07/26/26	23.26
07/26/26	23.35
07/26/26	23.45
