# Date	real
07/19/26	9.284
07/19/26	9.269
07/19/26	9.404
07/19/26	9.203
07/19/26	8.88
07/19/26	9.445
07/19/26	9.418
07/19/26	9.269
07/19/26	9.213
07/19/26	9.274
07/20/26	9.399
07/20/26	9.215
07/20/26	9.338
07/20/26	9.281
07/20/26	9.132
07/20/26	9.396
07/20/26	9.398
07/20/26	9.292
07/20/26	9.3
07/20/26	9.377
07/26/26	9.325
07/26/26	9.181
07/26/26	9.0
07/26/26	9.192
07/26/26	9.043
07/26/26	9.219
07/26/26	9.309
07/26/26	9.333
07/26/26	9.303
07/26/26	9.264
07/26/26	19.48
07/26/26	18.52
07/26/26	19.84
07/26/26	19.81
07/26/26	20.13
07/26/26	20.07
07/26/26	20.07
07/26/26	19.83
07/26/26	16.81
07/26/26	20.75
07/26/26	18.07
07/26/26	17.42
07/26/26	16.42
07/26/26	14.96
07/26/26	17.49
07/26/26	18.37
07/26/26	16.77
07/26/26	16.41
07/26/26	18.42
07/26/26	17.35
