# Date	real
07/19/26	14.0
07/19/26	14.08
07/19/26	14.02
07/19/26	13.98
07/19/26	14.12
07/19/26	13.95
07/19/26	14.12
07/19/26	13.88
07/19/26	14.09
07/19/26	14.15
07/21/26	13.98
07/21/26	13.93
07/21/26	13.92
07/21/26	14.0
07/21/26	13.91
07/21/26	13.85
07/21/26	13.9
07/21/26	13.95
07/21/26	13.92
07/21/26	14.0
07/26/26	14.33
07/26/26	14.33
07/26/26	14.22
07/26/26	14.35
07/26/26	14.28
07/26/26	14.28
07/26/26	14.32
07/26/26	14.33
07/26/26	14.32
07/26/26	14.25
07/27/26	14.2
07/27/26	14.33
07/27/26	14.15
07/27/26	14.22
07/27/26	14.24
07/27/26	14.23
07/27/26	14.16
07/27/26	14.36
07/27/26	14.06
07/27/26	14.21
