# Date	real
07/19/26	9.333
07/19/26	9.196
07/19/26	9.156
07/19/26	9.256
07/19/26	9.174
07/19/26	9.12
07/19/26	9.327
07/19/26	9.3
07/19/26	9.335
07/19/26	9.171
07/21/26	8.902
07/21/26	8.726
07/21/26	8.902
07/21/26	8.878
07/21/26	8.81
07/21/26	8.671
07/21/26	8.758
07/21/26	8.675
07/21/26	8.663
07/21/26	8.789
07/26/26	9.293
07/26/26	9.371
07/26/26	9.348
07/26/26	9.36
07/26/26	9.328
07/26/26	9.245
07/26/26	9.24
07/26/26	8.894
07/26/26	8.762
07/26/26	8.912
07/27/26	9.298
07/27/26	9.191
07/27/26	9.195
07/27/26	9.354
07/27/26	9.256
07/27/26	9.288
07/27/26	9.321
07/27/26	9.248
07/27/26	9.186
07/27/26	9.219
