# Date	real
07/19/26	4.78
07/19/26	4.90
07/19/26	4.87
07/19/26	4.82
07/19/26	4.83
07/19/26	4.89
07/19/26	4.77
07/19/26	4.89
07/19/26	4.82
07/19/26	4.83
07/20/26	4.77
07/20/26	4.80
07/20/26	4.83
07/20/26	4.83
07/20/26	4.83
07/20/26	4.76
07/20/26	4.82
07/20/26	4.76
07/20/26	4.82
07/20/26	4.89
07/26/26	4.89
07/26/26	4.90
07/26/26	4.85
07/26/26	4.84
07/26/26	4.80
07/26/26	4.82
07/26/26	4.76
07/26/26	4.77
07/26/26	4.89
07/26/26	4.83
07/26/26	4.86
07/26/26	4.83
07/26/26	4.80
07/26/26	4.85
07/26/26	5.06
07/26/26	4.84
07/26/26	5.10
07/26/26	5.02
07/26/26	4.76
07/26/26	4.79
07/26/26	7.84
07/26/26	7.82
07/26/26	7.89
07/26/26	7.75
07/26/26	7.80
07/26/26	7.65
07/26/26	7.75
07/26/26	7.84
07/26/26	7.80
07/26/26	7.79
