# Date	real
07/19/26	4.469
07/19/26	4.27
07/19/26	4.274
07/19/26	4.578
07/19/26	4.21
07/19/26	4.552
07/19/26	5.012
07/19/26	4.656
07/19/26	4.539
07/19/26	4.543
07/20/26	4.278
07/20/26	5.032
07/20/26	4.275
07/20/26	4.547
07/20/26	4.537
07/20/26	4.28
07/20/26	4.546
07/20/26	4.253
07/20/26	4.269
07/20/26	4.483
07/26/26	4.542
07/26/26	4.555
07/26/26	4.49
07/26/26	4.539
07/26/26	4.517
07/26/26	4.274
07/26/26	4.54
07/26/26	4.27
07/26/26	4.67
07/26/26	4.629
07/26/26	4.438
07/26/26	4.481
07/26/26	4.205
07/26/26	4.226
07/26/26	4.177
07/26/26	4.248
07/26/26	4.448
07/26/26	4.444
07/26/26	4.353
07/26/26	4.189
07/26/26	4.435
07/26/26	4.389
07/26/26	4.488
07/26/26	4.411
07/26/26	4.419
07/26/26	4.398
07/26/26	4.493
07/26/26	4.427
07/26/26	7.164
07/26/26	7.14
