# Date	real
07/19/26	4.674
07/19/26	4.468
07/19/26	4.688
07/19/26	4.472
07/19/26	4.256
07/19/26	4.472
07/19/26	4.478
07/19/26	4.266
07/19/26	4.495
07/19/26	4.264
07/20/26	4.256
07/20/26	4.685
07/20/26	4.255
07/20/26	4.475
07/20/26	4.674
07/20/26	4.467
07/20/26	4.26
07/20/26	4.505
07/20/26	4.416
07/20/26	4.685
07/26/26	4.682
07/26/26	4.683
07/26/26	4.493
07/26/26	4.265
07/26/26	4.119
07/26/26	4.252
07/26/26	4.458
07/26/26	4.557
07/26/26	4.598
07/26/26	4.418
07/26/26	4.185
07/26/26	4.162
07/26/26	4.316
07/26/26	4.448
07/26/26	4.291
07/26/26	4.119
07/26/26	4.498
07/26/26	4.435
07/26/26	4.452
07/26/26	4.322
07/26/26	6.923
07/26/26	6.675
07/26/26	6.65
07/26/26	7.207
07/26/26	7.085
07/26/26	6.697
07/26/26	6.976
07/26/26	6.772
07/26/26	6.799
07/26/26	6.945
