# Date	real
07/19/26	4.746
07/19/26	4.727
07/19/26	4.492
07/19/26	4.417
07/19/26	4.732
07/19/26	4.738
07/19/26	4.299
07/19/26	4.608
07/19/26	4.747
07/19/26	4.581
07/20/26	4.584
07/20/26	4.659
07/20/26	4.294
07/20/26	4.487
07/20/26	4.502
07/20/26	4.714
07/20/26	4.398
07/20/26	4.437
07/20/26	4.577
07/20/26	4.723
07/26/26	4.337
07/26/26	4.457
07/26/26	4.322
07/26/26	4.497
07/26/26	4.488
07/26/26	4.502
07/26/26	4.552
07/26/26	4.722
07/26/26	4.67
07/26/26	4.588
07/26/26	7.253
07/26/26	7.796
07/26/26	8.526
07/26/26	8.554
07/26/26	7.859
07/26/26	8.093
07/26/26	8.037
07/26/26	8.062
07/26/26	7.647
07/26/26	7.86
07/26/26	6.959
07/26/26	7.5
07/26/26	6.875
07/26/26	6.921
07/26/26	7.435
07/26/26	7.116
07/26/26	6.67
07/26/26	7.091
07/26/26	7.503
07/26/26	7.194
