# Date	real
07/19/26	4.291
07/19/26	4.274
07/19/26	4.257
07/19/26	4.298
07/19/26	4.268
07/19/26	4.267
07/19/26	4.495
07/19/26	4.286
07/19/26	4.323
07/19/26	4.3
07/20/26	4.366
07/20/26	4.278
07/20/26	4.287
07/20/26	4.269
07/20/26	4.279
07/20/26	4.278
07/20/26	4.293
07/20/26	4.267
07/20/26	4.299
07/20/26	4.293
07/26/26	4.286
07/26/26	4.293
07/26/26	4.306
07/26/26	4.281
07/26/26	4.289
07/26/26	4.293
07/26/26	4.259
07/26/26	4.267
07/26/26	4.284
07/26/26	4.292
07/26/26	4.403
07/26/26	4.515
07/26/26	4.502
07/26/26	4.468
07/26/26	4.583
07/26/26	4.579
07/26/26	4.443
07/26/26	4.472
07/26/26	4.508
07/26/26	4.45
07/26/26	7.201
07/26/26	7.087
07/26/26	7.066
07/26/26	7.063
07/26/26	7.075
07/26/26	7.04
07/26/26	7.055
07/26/26	7.043
07/26/26	7.543
07/26/26	7.763
