# Date	real
07/19/26	4.305
07/19/26	4.282
07/19/26	4.294
07/19/26	4.286
07/19/26	4.305
07/19/26	4.243
07/19/26	4.245
07/19/26	4.329
07/19/26	4.252
07/19/26	4.247
07/20/26	4.284
07/20/26	4.257
07/20/26	4.301
07/20/26	4.489
07/20/26	4.275
07/20/26	4.28
07/20/26	4.244
07/20/26	4.302
07/20/26	4.295
07/20/26	4.275
07/26/26	4.3
07/26/26	4.278
07/26/26	4.296
07/26/26	4.245
07/26/26	4.3
07/26/26	4.289
07/26/26	4.298
07/26/26	4.271
07/26/26	4.281
07/26/26	4.25
07/26/26	4.432
07/26/26	4.427
07/26/26	4.408
07/26/26	4.437
07/26/26	4.418
07/26/26	4.433
07/26/26	4.453
07/26/26	4.435
07/26/26	4.411
07/26/26	4.634
07/26/26	7.004
07/26/26	7.127
07/26/26	7.198
07/26/26	7.003
07/26/26	7.083
07/26/26	7.071
07/26/26	7.036
07/26/26	7.037
07/26/26	7.06
07/26/26	7.116
