# Date	real
07/19/26	20.42
07/19/26	20.41
07/19/26	20.4
07/19/26	20.4
07/19/26	20.43
07/19/26	20.4
07/19/26	20.37
07/19/26	20.42
07/19/26	20.5
07/19/26	20.43
07/20/26	20.43
07/20/26	20.38
07/20/26	20.41
07/20/26	20.44
07/20/26	20.39
07/20/26	20.41
07/20/26	20.41
07/20/26	20.4
07/20/26	20.46
07/20/26	20.49
07/26/26	23.3
07/26/26	23.32
07/26/26	23.31
07/26/26	23.3
07/26/26	23.27
07/26/26	23.31
07/26/26	23.29
07/26/26	23.36
07/26/26	23.47
07/26/26	23.31
07/26/26	23.37
07/26/26	23.59
07/26/26	23.49
07/26/26	23.36
07/26/26	23.34
07/26/26	23.65
07/26/26	23.42
07/26/26	23.33
07/26/26	23.48
07/26/26	23.38
07/26/26	20.41
07/26/26	20.42
07/26/26	20.48
07/26/26	20.39
07/26/26	20.44
07/26/26	20.41
07/26/26	20.38
07/26/26	20.4
07/26/26	20.38
07/26/26	20.39
