# Date	real
07/19/26	31.54
07/19/26	31.67
07/19/26	31.31
07/19/26	31.89
07/19/26	31.61
07/19/26	32.01
07/19/26	31.68
07/19/26	31.68
07/19/26	31.72
07/19/26	31.48
07/20/26	31.76
07/20/26	31.69
07/20/26	31.65
07/20/26	31.8
07/20/26	31.67
07/20/26	31.79
07/20/26	31.84
07/20/26	31.61
07/20/26	31.59
07/20/26	31.66
07/26/26	32.05
07/26/26	31.69
07/26/26	31.74
07/26/26	31.61
07/26/26	31.5
07/26/26	31.84
07/26/26	31.77
07/26/26	31.92
07/26/26	31.66
07/26/26	31.69
07/26/26	63.08
07/26/26	53.82
07/26/26	36.32
07/26/26	36.29
07/26/26	36.24
07/26/26	36.2
07/26/26	36.22
07/26/26	36.3
07/26/26	36.19
07/26/26	36.19
07/26/26	56.78
07/26/26	58.88
07/26/26	56.84
07/26/26	57.08
07/26/26	57.04
07/26/26	56.62
07/26/26	56.59
07/26/26	57.28
07/26/26	56.84
07/26/26	56.5
