# Date	real
07/19/26	20.39
07/19/26	20.39
07/19/26	20.41
07/19/26	20.38
07/19/26	20.44
07/19/26	20.41
07/19/26	20.46
07/19/26	20.41
07/19/26	20.42
07/19/26	20.61
07/20/26	20.42
07/20/26	20.44
07/20/26	20.4
07/20/26	20.44
07/20/26	20.4
07/20/26	20.43
07/20/26	20.39
07/20/26	20.4
07/20/26	20.37
07/20/26	20.48
07/26/26	24.84
07/26/26	33.54
07/26/26	33.3
07/26/26	27.67
07/26/26	23.4
07/26/26	23.39
07/26/26	23.4
07/26/26	32.91
07/26/26	40.58
07/26/26	40.97
07/26/26	23.32
07/26/26	23.36
07/26/26	23.52
07/26/26	23.37
07/26/26	23.36
07/26/26	23.38
07/26/26	23.42
07/26/26	23.37
07/26/26	23.56
07/26/26	23.44
07/26/26	37.41
07/26/26	37.31
07/26/26	36.83
07/26/26	36.55
07/26/26	36.46
07/26/26	36.6
07/26/26	36.58
07/26/26	36.63
07/26/26	36.6
07/26/26	36.31
