# Date	real
07/19/26	30.06
07/19/26	30.14
07/19/26	29.57
07/19/26	30.25
07/19/26	30.11
07/19/26	29.76
07/19/26	30.12
07/19/26	29.64
07/19/26	30.01
07/19/26	30.06
07/20/26	29.7
07/20/26	30.2
07/20/26	29.69
07/20/26	30.12
07/20/26	29.92
07/20/26	29.61
07/20/26	30.09
07/20/26	30.15
07/20/26	30.28
07/20/26	29.98
07/26/26	29.57
07/26/26	29.7
07/26/26	30.31
07/26/26	30.0
07/26/26	29.61
07/26/26	29.98
07/26/26	29.79
07/26/26	30.17
07/26/26	30.36
07/26/26	30.2
07/26/26	33.92
07/26/26	34.58
07/26/26	34.96
07/26/26	34.39
07/26/26	33.58
07/26/26	34.72
07/26/26	34.83
07/26/26	35.15
07/26/26	34.2
07/26/26	33.91
07/26/26	54.8
07/26/26	53.83
07/26/26	54.61
07/26/26	54.19
07/26/26	53.27
07/26/26	54.42
07/26/26	54.39
07/26/26	54.15
07/26/26	54.02
07/26/26	54.44
