# Date	real
07/19/26	30.27
07/19/26	30.11
07/19/26	30.5
07/19/26	30.08
07/19/26	30.21
07/19/26	30.0
07/19/26	29.98
07/19/26	30.11
07/19/26	30.1
07/19/26	29.97
07/20/26	30.12
07/20/26	30.13
07/20/26	30.15
07/20/26	30.27
07/20/26	30.28
07/20/26	30.21
07/20/26	30.06
07/20/26	29.87
07/20/26	30.06
07/20/26	29.87
07/26/26	29.99
07/26/26	30.21
07/26/26	30.15
07/26/26	30.25
07/26/26	29.96
07/26/26	30.2
07/26/26	30.1
07/26/26	29.94
07/26/26	29.91
07/26/26	30.25
07/26/26	34.56
07/26/26	34.33
07/26/26	34.2
07/26/26	34.1
07/26/26	34.16
07/26/26	34.14
07/26/26	34.34
07/26/26	34.58
07/26/26	34.42
07/26/26	34.83
07/26/26	54.04
07/26/26	53.73
07/26/26	53.88
07/26/26	54.09
07/26/26	54.03
07/26/26	53.9
07/26/26	54.15
07/26/26	53.66
07/26/26	54.06
07/26/26	54.39
