# Date	real
07/19/26	88.84
07/19/26	88.84
07/19/26	88.78
07/19/26	88.76
07/19/26	88.77
07/19/26	88.8
07/19/26	88.76
07/19/26	88.72
07/19/26	88.79
07/19/26	88.75
07/20/26	88.75
07/20/26	88.76
07/20/26	88.78
07/20/26	88.79
07/20/26	88.72
07/20/26	88.81
07/20/26	88.76
07/20/26	88.82
07/20/26	88.83
07/20/26	88.76
07/26/26	178.0
07/26/26	133.3
07/26/26	180.2
07/26/26	143.5
07/26/26	168.7
07/26/26	178.6
07/26/26	133.3
07/26/26	178.4
07/26/26	178.1
07/26/26	178.0
07/26/26	94.62
07/26/26	128.9
07/26/26	121.3
07/26/26	116.8
07/26/26	129.1
07/26/26	124.9
07/26/26	112.7
07/26/26	97.0
07/26/26	97.51
07/26/26	98.08
07/26/26	130.0
07/26/26	129.7
07/26/26	130.3
07/26/26	129.9
07/26/26	88.85
07/26/26	88.71
07/26/26	88.81
07/26/26	88.78
07/26/26	88.83
07/26/26	88.8
