# Date	real
06/01/26	3.962
06/01/26	3.964
06/01/26	3.962
06/01/26	3.962
06/01/26	3.961
06/01/26	3.961
06/01/26	3.96
06/01/26	3.959
06/01/26	3.96
06/01/26	3.975
07/19/26	3.674
07/19/26	3.676
07/19/26	3.674
07/19/26	3.673
07/19/26	3.673
07/19/26	3.679
07/19/26	3.676
07/19/26	3.674
07/19/26	3.673
07/19/26	3.673
07/20/26	3.675
07/20/26	3.673
07/20/26	3.672
07/20/26	3.681
07/20/26	3.676
07/20/26	3.671
07/20/26	3.672
07/20/26	3.677
07/20/26	3.688
07/20/26	3.679
07/26/26	7.199
07/26/26	7.245
07/26/26	7.242
07/26/26	7.239
07/26/26	7.189
07/26/26	7.25
07/26/26	7.239
07/26/26	6.847
07/26/26	7.242
07/26/26	7.238
07/26/26	3.63
07/26/26	3.686
07/26/26	3.685
07/26/26	3.704
07/26/26	3.722
07/26/26	3.741
07/26/26	3.711
07/26/26	3.697
07/26/26	3.629
07/26/26	3.645
07/26/26	3.673
07/26/26	3.677
07/26/26	3.674
07/26/26	3.676
07/26/26	3.672
07/26/26	3.674
07/26/26	3.675
07/26/26	3.676
07/26/26	3.676
07/26/26	3.677
