# Date	real
06/01/26	2.3
06/01/26	2.299
06/01/26	2.301
06/01/26	2.318
06/01/26	2.301
06/01/26	2.313
06/01/26	2.314
06/01/26	2.299
06/01/26	2.299
06/01/26	2.316
07/19/26	2.312
07/19/26	2.298
07/19/26	2.297
07/19/26	2.307
07/19/26	2.31
07/19/26	2.3
07/19/26	2.3
07/19/26	2.312
07/19/26	2.311
07/19/26	2.302
07/20/26	2.279
07/20/26	2.266
07/20/26	2.264
07/20/26	2.26
07/20/26	2.267
07/20/26	2.267
07/20/26	2.272
07/20/26	2.268
07/20/26	2.265
07/20/26	2.26
07/26/26	4.545
07/26/26	4.544
07/26/26	4.544
07/26/26	4.561
07/26/26	4.548
07/26/26	4.552
07/26/26	4.564
07/26/26	4.553
07/26/26	4.552
07/26/26	4.561
07/26/26	2.32
07/26/26	2.316
07/26/26	2.344
07/26/26	4.988
07/26/26	5.033
07/26/26	5.613
07/26/26	5.383
07/26/26	5.285
07/26/26	2.313
07/26/26	2.312
07/26/26	2.301
07/26/26	2.327
07/26/26	2.322
07/26/26	2.299
07/26/26	2.309
07/26/26	2.304
07/26/26	2.299
07/26/26	2.296
07/26/26	2.301
07/26/26	2.3
