# Date	real
06/01/26	19.41
06/01/26	19.38
06/01/26	19.89
06/01/26	19.63
06/01/26	19.41
06/01/26	19.64
06/01/26	19.79
06/01/26	19.5
06/01/26	19.46
06/01/26	19.45
07/19/26	19.79
07/19/26	19.93
07/19/26	19.86
07/19/26	21.31
07/19/26	21.46
07/19/26	21.25
07/19/26	21.0
07/19/26	19.98
07/19/26	20.15
07/19/26	19.8
07/20/26	19.79
07/20/26	19.73
07/20/26	19.93
07/20/26	19.99
07/20/26	19.84
07/20/26	21.23
07/20/26	21.26
07/20/26	19.84
07/20/26	19.9
07/20/26	20.05
07/26/26	39.87
07/26/26	40.09
07/26/26	40.01
07/26/26	39.73
07/26/26	40.28
07/26/26	40.25
07/26/26	39.94
07/26/26	40.06
07/26/26	39.77
07/26/26	40.13
07/26/26	41.15
07/26/26	27.45
07/26/26	20.17
07/26/26	43.22
07/26/26	43.47
07/26/26	43.44
07/26/26	38.65
07/26/26	24.54
07/26/26	27.66
07/26/26	25.95
07/27/26	19.91
07/27/26	19.74
07/27/26	19.75
07/27/26	19.87
07/27/26	20.02
07/27/26	20.15
07/27/26	19.8
07/27/26	19.81
07/27/26	19.8
07/27/26	19.78
