# Date	real
06/01/26	4.028
06/01/26	4.029
06/01/26	4.03
06/01/26	4.023
06/01/26	4.03
06/01/26	4.035
06/01/26	4.231
06/01/26	4.139
06/01/26	4.046
06/01/26	4.211
07/19/26	4.045
07/19/26	4.052
07/19/26	4.047
07/19/26	4.053
07/19/26	4.033
07/19/26	4.035
07/19/26	4.055
07/19/26	4.051
07/19/26	4.051
07/19/26	4.04
07/20/26	4.042
07/20/26	4.046
07/20/26	4.067
07/20/26	4.056
07/20/26	4.042
07/20/26	4.055
07/20/26	4.052
07/20/26	4.045
07/20/26	4.045
07/20/26	4.047
07/26/26	8.108
07/26/26	8.1
07/26/26	8.107
07/26/26	8.565
07/26/26	8.157
07/26/26	8.126
07/26/26	5.188
07/26/26	4.077
07/26/26	9.155
07/26/26	9.12
07/26/26	4.056
07/26/26	4.059
07/26/26	7.335
07/26/26	4.052
07/26/26	4.073
07/26/26	8.984
07/26/26	7.452
07/26/26	5.571
07/26/26	4.117
07/26/26	4.52
07/27/26	4.043
07/27/26	4.055
07/27/26	4.066
07/27/26	4.041
07/27/26	4.034
07/27/26	4.037
07/27/26	4.045
07/27/26	4.043
07/27/26	4.044
07/27/26	4.058
