# Date	real
06/01/26	5.668
06/01/26	5.686
06/01/26	5.67
06/01/26	5.669
06/01/26	5.704
06/01/26	5.67
06/01/26	5.659
06/01/26	5.664
06/01/26	5.669
06/01/26	5.673
07/19/26	5.551
07/19/26	5.559
07/19/26	5.593
07/19/26	5.576
07/19/26	5.62
07/19/26	5.595
07/19/26	5.556
07/19/26	5.563
07/19/26	5.562
07/19/26	5.752
07/20/26	5.59
07/20/26	5.567
07/20/26	5.57
07/20/26	5.572
07/20/26	5.583
07/20/26	5.563
07/20/26	5.581
07/20/26	5.639
07/20/26	5.598
07/20/26	5.628
07/26/26	5.603
07/26/26	5.649
07/26/26	5.652
07/26/26	5.693
07/26/26	5.635
07/26/26	5.588
07/26/26	5.616
07/26/26	5.604
07/26/26	5.55
07/26/26	5.881
07/26/26	8.155
07/26/26	5.648
07/26/26	9.109
07/26/26	11.35
07/26/26	5.631
07/26/26	5.643
07/26/26	5.757
07/26/26	8.644
07/26/26	9.586
07/26/26	11.74
07/27/26	5.56
07/27/26	5.553
07/27/26	5.598
07/27/26	5.609
07/27/26	5.577
07/27/26	5.588
07/27/26	5.541
07/27/26	5.576
07/27/26	5.537
07/27/26	5.577
