# Date	real
06/02/26	2.267
06/02/26	2.261
06/02/26	2.262
06/02/26	2.385
06/02/26	2.262
06/02/26	2.266
06/02/26	2.262
06/02/26	2.265
06/02/26	2.263
06/02/26	2.271
07/19/26	2.271
07/19/26	2.266
07/19/26	2.261
07/19/26	2.261
07/19/26	2.264
07/19/26	2.262
07/19/26	2.262
07/19/26	2.265
07/19/26	2.265
07/19/26	2.263
07/21/26	2.264
07/21/26	2.38
07/21/26	2.258
07/21/26	2.257
07/21/26	2.26
07/21/26	2.256
07/21/26	2.255
07/21/26	2.265
07/21/26	2.255
07/21/26	2.259
07/26/26	2.313
07/26/26	2.299
07/26/26	2.3
07/26/26	2.298
07/26/26	2.299
07/26/26	2.307
07/26/26	2.299
07/26/26	2.311
07/26/26	2.299
07/26/26	2.298
07/27/26	2.311
07/27/26	2.3
07/27/26	2.418
07/27/26	2.3
07/27/26	2.302
07/27/26	2.298
07/27/26	2.296
07/27/26	2.31
07/27/26	2.313
07/27/26	2.313
