# Date	real
07/19/26	25.81
07/19/26	25.58
07/19/26	25.75
07/19/26	25.75
07/19/26	25.62
07/19/26	25.53
07/19/26	25.54
07/19/26	25.72
07/19/26	25.68
07/19/26	25.72
07/20/26	25.63
07/20/26	25.59
07/20/26	25.66
07/20/26	25.69
07/20/26	25.55
07/20/26	25.47
07/20/26	25.55
07/20/26	25.6
07/20/26	25.52
07/20/26	25.47
07/26/26	29.49
07/26/26	43.98
07/26/26	29.86
07/26/26	33.39
07/26/26	40.73
07/26/26	29.25
07/26/26	35.75
07/26/26	37.37
07/26/26	28.99
07/26/26	39.62
07/26/26	30.03
07/26/26	29.93
07/26/26	38.72
07/26/26	50.59
07/26/26	46.95
07/26/26	44.04
07/26/26	42.93
07/26/26	50.19
07/26/26	46.31
07/26/26	41.08
07/27/26	25.86
07/27/26	25.84
07/27/26	25.78
07/27/26	25.93
07/27/26	25.69
07/27/26	25.77
07/27/26	25.79
07/27/26	25.88
07/27/26	25.69
07/27/26	25.78
