# Date	real
06/02/26	23.47
06/02/26	23.42
06/02/26	23.44
06/02/26	23.48
06/02/26	23.45
06/02/26	23.43
06/02/26	23.48
06/02/26	23.49
06/02/26	23.43
06/02/26	23.43
07/19/26	22.88
07/19/26	22.94
07/19/26	22.99
07/19/26	22.9
07/19/26	22.75
07/19/26	22.83
07/19/26	22.85
07/19/26	22.95
07/19/26	22.77
07/19/26	22.89
07/21/26	22.95
07/21/26	22.86
07/21/26	22.93
07/21/26	22.89
07/21/26	22.89
07/21/26	22.87
07/21/26	22.89
07/21/26	22.97
07/21/26	22.87
07/21/26	22.87
07/26/26	23.07
07/26/26	23.02
07/26/26	22.96
07/26/26	23.3
07/26/26	23.01
07/26/26	23.04
07/26/26	23.02
07/26/26	23.02
07/26/26	23.06
07/26/26	22.99
07/27/26	23.0
07/27/26	23.03
07/27/26	22.98
07/27/26	23.08
07/27/26	22.92
07/27/26	22.92
07/27/26	22.89
07/27/26	22.95
07/27/26	22.94
07/27/26	23.1
