# Date	real
06/02/26	26.42
06/02/26	26.3
06/02/26	26.33
06/02/26	26.35
06/02/26	26.33
06/02/26	26.33
06/02/26	26.4
06/02/26	26.37
06/02/26	26.3
06/02/26	26.33
07/19/26	25.35
07/19/26	25.31
07/19/26	25.32
07/19/26	25.28
07/19/26	25.34
07/19/26	25.28
07/19/26	25.33
07/19/26	25.34
07/19/26	25.16
07/19/26	25.31
07/21/26	25.39
07/21/26	25.45
07/21/26	25.39
07/21/26	25.27
07/21/26	25.39
07/21/26	25.41
07/21/26	25.4
07/21/26	25.34
07/21/26	25.39
07/21/26	25.43
07/26/26	25.59
07/26/26	25.57
07/26/26	25.53
07/26/26	25.46
07/26/26	25.5
07/26/26	25.39
07/26/26	25.56
07/26/26	25.52
07/26/26	25.41
07/26/26	25.34
07/27/26	25.51
07/27/26	25.49
07/27/26	25.5
07/27/26	25.52
07/27/26	25.45
07/27/26	25.35
07/27/26	25.34
07/27/26	25.44
07/27/26	25.39
07/27/26	25.39
