# Date	real
07/19/26	24.29
07/19/26	23.82
07/19/26	23.54
07/19/26	23.16
07/19/26	23.44
07/19/26	23.18
07/19/26	23.29
07/19/26	23.38
07/19/26	23.23
07/19/26	23.4
07/20/26	23.74
07/20/26	23.3
07/20/26	23.25
07/20/26	23.21
07/20/26	23.24
07/20/26	23.35
07/20/26	23.32
07/20/26	23.22
07/20/26	23.21
07/20/26	23.25
07/26/26	28.43
07/26/26	26.07
07/26/26	27.99
07/26/26	26.16
07/26/26	27.58
07/26/26	26.36
07/26/26	28.3
07/26/26	26.72
07/26/26	27.97
07/26/26	26.57
07/26/26	27.42
07/26/26	28.01
07/26/26	27.22
07/26/26	38.49
07/26/26	41.43
07/26/26	42.06
07/26/26	39.35
07/26/26	41.63
07/26/26	41.51
07/26/26	40.43
07/27/26	23.95
07/27/26	23.51
07/27/26	23.52
07/27/26	23.42
07/27/26	23.55
07/27/26	23.44
07/27/26	23.42
07/27/26	23.55
07/27/26	23.44
07/27/26	23.45
