# Date	real
06/01/26	8.182
06/01/26	8.168
06/01/26	8.184
06/01/26	8.195
06/01/26	8.183
06/01/26	8.199
06/01/26	8.18
06/01/26	8.175
06/01/26	8.212
06/01/26	8.185
07/19/26	8.505
07/19/26	8.482
07/19/26	8.503
07/19/26	8.53
07/19/26	8.508
07/19/26	8.493
07/19/26	8.51
07/19/26	8.491
07/19/26	8.5
07/19/26	8.504
07/20/26	8.496
07/20/26	8.494
07/20/26	8.503
07/20/26	8.502
07/20/26	8.496
07/20/26	8.5
07/20/26	8.492
07/20/26	8.492
07/20/26	8.521
07/20/26	8.491
07/26/26	15.23
07/26/26	12.0
07/26/26	10.5
07/26/26	11.98
07/26/26	9.735
07/26/26	9.763
07/26/26	9.748
07/26/26	9.777
07/26/26	9.781
07/26/26	9.778
07/26/26	9.778
07/26/26	9.679
07/26/26	9.785
07/26/26	9.79
07/26/26	9.787
07/26/26	9.779
07/26/26	9.788
07/26/26	9.78
07/26/26	9.707
07/26/26	9.787
07/27/26	8.498
07/27/26	8.501
07/27/26	8.506
07/27/26	8.5
07/27/26	8.509
07/27/26	8.491
07/27/26	8.503
07/27/26	8.5
07/27/26	8.521
07/27/26	8.49
