# Date	real
05/23/26	4.839
05/23/26	4.821
05/23/26	4.842
05/23/26	4.839
05/23/26	4.845
05/23/26	4.85
05/23/26	4.843
05/23/26	4.847
05/23/26	4.838
05/23/26	4.841
06/01/26	4.867
06/01/26	4.838
06/01/26	4.87
06/01/26	4.874
06/01/26	4.866
06/01/26	4.869
06/01/26	4.869
06/01/26	4.868
06/01/26	4.877
06/01/26	4.869
07/19/26	4.872
07/19/26	4.855
07/19/26	4.869
07/19/26	4.864
07/19/26	4.875
07/19/26	4.87
07/19/26	4.872
07/19/26	4.874
07/19/26	4.867
07/19/26	4.881
07/20/26	4.87
07/20/26	4.853
07/20/26	4.867
07/20/26	4.873
07/20/26	4.869
07/20/26	4.867
07/20/26	4.865
07/20/26	4.871
07/20/26	4.867
07/20/26	4.87
07/26/26	5.582
07/26/26	5.533
07/26/26	5.563
07/26/26	5.6
07/26/26	5.578
07/26/26	5.591
07/26/26	5.571
07/26/26	5.703
07/26/26	5.577
07/26/26	5.561
07/26/26	5.577
07/26/26	9.73
07/26/26	9.76
07/26/26	7.723
07/26/26	6.446
07/26/26	6.421
07/26/26	6.075
07/26/26	5.59
07/26/26	9.779
07/26/26	9.768
07/27/26	4.867
07/27/26	4.839
07/27/26	4.881
07/27/26	4.865
07/27/26	4.87
07/27/26	4.877
07/27/26	4.888
07/27/26	4.867
07/27/26	4.866
07/27/26	4.876
