# Date	real
05/23/26	157.80
05/23/26	153.39
05/23/26	157.77
05/23/26	155.96
05/23/26	157.75
05/23/26	157.77
05/23/26	157.79
05/23/26	155.16
05/23/26	152.94
05/23/26	157.77
06/01/26	151.90
06/01/26	151.90
06/01/26	151.90
06/01/26	151.92
06/01/26	151.95
06/01/26	151.93
06/01/26	151.92
06/01/26	151.94
06/01/26	151.94
06/01/26	151.92
07/19/26	152.09
07/19/26	151.81
07/19/26	151.82
07/19/26	151.81
07/19/26	151.82
07/19/26	151.78
07/19/26	151.81
07/19/26	151.78
07/19/26	151.81
07/19/26	151.81
07/20/26	151.80
07/20/26	151.77
07/20/26	151.81
07/20/26	151.81
07/20/26	151.79
07/20/26	151.81
07/20/26	151.80
07/20/26	151.80
07/20/26	151.78
07/20/26	151.80
07/26/26	301.80
07/26/26	250.07
07/26/26	292.05
07/26/26	270.69
07/26/26	305.70
07/26/26	305.28
07/26/26	306.01
07/26/26	305.27
07/26/26	305.83
07/26/26	270.65
07/26/26	169.24
07/26/26	161.40
07/26/26	301.56
07/26/26	256.55
07/26/26	303.48
07/26/26	303.56
07/26/26	303.12
07/26/26	303.53
07/26/26	303.55
07/26/26	303.14
07/27/26	151.77
07/27/26	151.76
07/27/26	151.78
07/27/26	151.77
07/27/26	151.79
07/27/26	151.77
07/27/26	151.80
07/27/26	151.79
07/27/26	151.78
07/27/26	151.77
