# Date	real
05/23/26	88.70
05/23/26	88.63
05/23/26	88.63
05/23/26	88.65
05/23/26	88.69
05/23/26	88.84
05/23/26	88.46
05/23/26	89.61
05/23/26	88.70
05/23/26	88.67
06/01/26	88.18
06/01/26	88.19
06/01/26	88.16
06/01/26	88.16
06/01/26	88.21
06/01/26	102.52
06/01/26	88.21
06/01/26	88.22
06/01/26	88.19
06/01/26	88.15
07/19/26	92.61
07/19/26	92.44
07/19/26	92.44
07/19/26	92.46
07/19/26	92.43
07/19/26	93.31
07/19/26	92.44
07/19/26	92.46
07/19/26	107.58
07/19/26	92.50
07/20/26	92.44
07/20/26	92.43
07/20/26	92.43
07/20/26	92.46
07/20/26	92.44
07/20/26	92.47
07/20/26	92.42
07/20/26	92.47
07/20/26	92.45
07/20/26	92.48
07/26/26	163.67
07/26/26	163.01
07/26/26	111.64
07/26/26	128.48
07/26/26	105.73
07/26/26	119.45
07/26/26	109.02
07/26/26	165.72
07/26/26	131.25
07/26/26	138.49
07/26/26	102.36
07/26/26	102.35
07/26/26	92.59
07/26/26	104.10
07/26/26	102.41
07/26/26	103.74
07/26/26	102.51
07/26/26	102.46
07/26/26	106.40
07/26/26	102.45
07/27/26	93.17
07/27/26	92.47
07/27/26	92.49
07/27/26	92.45
07/27/26	92.49
07/27/26	92.37
07/27/26	92.49
07/27/26	92.50
07/27/26	92.50
07/27/26	92.46
