# Date	real
05/23/26	24.32
05/23/26	24.32
05/23/26	24.28
05/23/26	25.25
05/23/26	25.44
05/23/26	24.73
05/23/26	24.32
05/23/26	25.27
05/23/26	25.45
05/23/26	24.32
06/01/26	25.17
06/01/26	24.33
06/01/26	24.33
06/01/26	24.83
06/01/26	25.42
06/01/26	25.42
06/01/26	25.39
06/01/26	25.37
06/01/26	25.42
06/01/26	25.44
07/19/26	25.57
07/19/26	25.57
07/19/26	25.56
07/19/26	25.57
07/19/26	25.55
07/19/26	25.55
07/19/26	25.56
07/19/26	25.56
07/19/26	25.56
07/19/26	25.56
07/20/26	25.56
07/20/26	25.56
07/20/26	25.56
07/20/26	25.56
07/20/26	25.57
07/20/26	25.56
07/20/26	25.56
07/20/26	25.56
07/20/26	25.55
07/20/26	25.56
07/26/26	38.2
07/26/26	38.72
07/26/26	40.4
07/26/26	26.42
07/26/26	36.74
07/26/26	41.67
07/26/26	39.53
07/26/26	39.64
07/26/26	40.56
07/26/26	39.52
07/26/26	27.17
07/26/26	27.18
07/26/26	27.16
07/26/26	27.16
07/26/26	27.15
07/26/26	27.25
07/26/26	25.58
07/26/26	26.44
07/26/26	27.16
07/26/26	27.18
07/27/26	25.55
07/27/26	25.6
07/27/26	25.56
07/27/26	25.57
07/27/26	25.57
07/27/26	25.58
07/27/26	25.59
07/27/26	25.56
07/27/26	25.57
07/27/26	25.57
