# Date	real
05/23/26	13.94
05/23/26	14.16
05/23/26	14.17
05/23/26	14.15
05/23/26	14.19
05/23/26	14.15
05/23/26	14.16
05/23/26	14.07
05/23/26	13.8
05/23/26	13.31
06/01/26	14.15
06/01/26	14.04
06/01/26	14.14
06/01/26	14.11
06/01/26	14.14
06/01/26	14.07
06/01/26	14.19
06/01/26	14.08
06/01/26	14.15
06/01/26	14.11
07/19/26	13.83
07/19/26	13.94
07/19/26	13.95
07/19/26	13.9
07/19/26	13.87
07/19/26	13.95
07/19/26	13.91
07/19/26	13.93
07/19/26	13.89
07/19/26	13.94
07/20/26	13.95
07/20/26	13.92
07/20/26	13.92
07/20/26	13.93
07/20/26	13.91
07/20/26	13.91
07/20/26	13.88
07/20/26	13.92
07/20/26	13.97
07/20/26	13.9
07/26/26	14.61
07/26/26	15.35
07/26/26	14.15
07/26/26	14.64
07/26/26	14.73
07/26/26	14.24
07/26/26	14.26
07/26/26	14.72
07/26/26	14.63
07/26/26	14.91
07/26/26	14.06
07/26/26	27.68
07/26/26	27.72
07/26/26	27.64
07/26/26	27.61
07/26/26	23.28
07/26/26	13.98
07/26/26	24.3
07/26/26	27.86
07/26/26	27.74
07/27/26	13.88
07/27/26	13.92
07/27/26	13.98
07/27/26	13.92
07/27/26	13.91
07/27/26	13.91
07/27/26	13.93
07/27/26	13.96
07/27/26	13.81
07/27/26	13.91
