# Date	real
05/23/26	4.54
05/23/26	4.535
05/23/26	4.533
05/23/26	4.533
05/23/26	4.534
05/23/26	4.571
05/23/26	4.561
05/23/26	4.563
05/23/26	4.534
05/23/26	4.536
06/01/26	4.559
06/01/26	4.556
06/01/26	4.576
06/01/26	4.565
06/01/26	4.563
06/01/26	4.575
06/01/26	4.566
06/01/26	4.566
06/01/26	4.555
06/01/26	4.563
07/19/26	4.719
07/19/26	4.709
07/19/26	4.71
07/19/26	4.712
07/19/26	4.708
07/19/26	4.708
07/19/26	4.709
07/19/26	4.709
07/19/26	4.698
07/19/26	4.724
07/20/26	4.715
07/20/26	4.727
07/20/26	4.709
07/20/26	4.711
07/20/26	4.716
07/20/26	4.71
07/20/26	4.708
07/20/26	4.705
07/20/26	4.711
07/20/26	4.71
07/26/26	6.963
07/26/26	6.838
07/26/26	6.9
07/26/26	6.887
07/26/26	6.971
07/26/26	6.93
07/26/26	6.836
07/26/26	7.037
07/26/26	5.947
07/26/26	5.409
07/26/26	9.444
07/26/26	7.465
07/26/26	5.387
07/26/26	7.458
07/26/26	5.373
07/26/26	8.475
07/26/26	7.27
07/26/26	9.004
07/26/26	7.477
07/26/26	5.394
07/27/26	4.705
07/27/26	4.719
07/27/26	4.709
07/27/26	4.702
07/27/26	4.712
07/27/26	4.705
07/27/26	4.727
07/27/26	4.706
07/27/26	4.706
07/27/26	4.711
