# Date	real
05/23/26	21.84
05/23/26	22.27
05/23/26	22.93
05/23/26	21.82
05/23/26	21.82
05/23/26	22.88
05/23/26	22.95
05/23/26	22.48
05/23/26	21.83
05/23/26	21.82
06/01/26	22.93
06/01/26	22.97
06/01/26	22.93
06/01/26	22.93
06/01/26	22.95
06/01/26	22.94
06/01/26	22.93
06/01/26	22.94
06/01/26	22.94
06/01/26	22.94
07/19/26	22.73
07/19/26	22.73
07/19/26	22.73
07/19/26	22.74
07/19/26	22.74
07/19/26	22.74
07/19/26	22.73
07/19/26	22.73
07/19/26	22.74
07/19/26	22.73
07/20/26	22.74
07/20/26	22.75
07/20/26	22.74
07/20/26	22.74
07/20/26	22.73
07/20/26	22.73
07/20/26	22.74
07/20/26	22.73
07/20/26	22.73
07/20/26	22.74
07/26/26	23.5
07/26/26	23.51
07/26/26	31.3
07/26/26	27.44
07/26/26	31.18
07/26/26	31.0
07/26/26	23.59
07/26/26	23.59
07/26/26	38.76
07/26/26	38.68
07/26/26	22.78
07/26/26	22.78
07/26/26	22.77
07/26/26	22.79
07/26/26	22.78
07/26/26	22.78
07/26/26	22.78
07/26/26	22.78
07/26/26	23.37
07/26/26	23.58
07/27/26	22.74
07/27/26	22.74
07/27/26	22.75
07/27/26	22.74
07/27/26	22.74
07/27/26	22.75
07/27/26	22.74
07/27/26	22.76
07/27/26	22.74
07/27/26	22.74
