# Date	real
05/23/26	15.41
05/23/26	15.39
05/23/26	15.36
05/23/26	15.43
05/23/26	15.36
05/23/26	15.4
05/23/26	15.37
05/23/26	15.4
05/23/26	15.4
05/23/26	15.38
06/01/26	16.03
06/01/26	16.02
06/01/26	16.02
06/01/26	16.06
06/01/26	16.03
06/01/26	16.01
06/01/26	16.03
06/01/26	16.03
06/01/26	16.06
06/01/26	16.02
07/19/26	15.97
07/19/26	15.96
07/19/26	15.98
07/19/26	15.97
07/19/26	16.03
07/19/26	15.97
07/19/26	15.98
07/19/26	15.95
07/19/26	16.0
07/19/26	15.36
07/20/26	15.96
07/20/26	15.95
07/20/26	15.99
07/20/26	15.96
07/20/26	16.09
07/20/26	15.97
07/20/26	15.97
07/20/26	15.95
07/20/26	15.98
07/20/26	15.99
07/26/26	29.75
07/26/26	22.21
07/26/26	25.57
07/26/26	29.78
07/26/26	31.73
07/26/26	23.64
07/26/26	24.68
07/26/26	31.55
07/26/26	32.42
07/26/26	16.66
07/26/26	25.46
07/26/26	24.92
07/26/26	31.86
07/26/26	17.76
07/26/26	17.45
07/26/26	17.28
07/26/26	16.77
07/26/26	23.18
07/26/26	22.75
07/26/26	22.39
07/27/26	15.97
07/27/26	16.01
07/27/26	15.97
07/27/26	15.96
07/27/26	15.97
07/27/26	15.96
07/27/26	16.01
07/27/26	15.97
07/27/26	15.97
07/27/26	15.96
